id:ID(Entity),name
0, 红色食品
1, 全部人群
2, 围绝经期综合征
3, 更年期综合征
4, 股权分置
5, 社会公众股
6, 百度百科
7, 百科蝌蚪团
8, 百度百科校园大使
9, 五大夫松
10, 山东省泰安市
11, 暴风影音
12, 简体中文
13, 汇编语言
14, 软件工程
15, 解压缩软件
16, 压缩工具
17, 嵌入式开发
18, 特定专用设备
19, 还原精灵
20, 安全软件
21, 只有几秒钟
22, 设置不可写状态
23, 转义字符
24, 编程使用
25, 数据传送换码字符
26, 过敏性鼻炎
27, 变应性鼻炎
28, 耳鼻喉科
29, 可扩展标记语言
30, 标记语言
31, 磁盘碎片
32, 文件碎片
33, 拖慢机器运行速度
34, 第五类接触
35, 罗斯威尔事件
36, 西汉长信宫灯
37, 河北省博物馆
38, 智能电子专业
39, 电子工艺技
40, 电子专业
41, 佛教四大圣地
42, 佛教四大名山
43, 吉祥三宝
44, 布仁巴雅尔
45, 美国联邦调查局
46, 情报警务
47, 国内生产总值
48, 一个季度或一年
49, 财政政策
50, 经济学词汇
51, 虚拟明星
52, 大众需求
53, 仿真人形象
54, 南无阿弥陀佛
55, 无量寿佛
56, 阿弥陀佛
57, 建立极乐世界
58, 生物工程
59, 工学学士
60, 独立主格结构
61, 非谓语动词作状语
62, 电子信息工程
63, 电气信息类
64, 立克次氏体
65, 落基山斑疹
66, 弱电工程
67, 电力应用
68, 电机工程
69, 三长之制
70, 北魏孝文太和十年
71, 常春藤联盟
72, 高校联盟
73, 世界一流大学
74, 美国新英格兰地区
75, 内分泌失调
76, 内分泌科
77, 结婚恐惧症
78, 婚前恐惧症
79, 精神心理科
80, 临近婚期的准新人
81, 基尼系数
82, 坚尼系数
83, 政治经济学
84, 资本主义
85, 文艺复兴时期
86, 资产阶级
87, 同位语从句
88, 单词作同位语
89, 山姆大叔
90, 代指美国
91, 碳水化合物
92, 糖类化合物
93, 有机化合物
94, 邻苯甲酰磺酰亚胺
95, 白色结晶粉末
96, 角色扮演游戏
97, 角色扮演
98, 银团包销
